x,y,time
0.0,0.0,2025-07-04T11:36:16.905382
0.0,0.0,2025-07-04T11:36:16.908374
0.0,0.0,2025-07-04T11:36:16.911503
0.0,0.0,2025-07-04T11:36:16.914525
0.0,0.0,2025-07-04T11:36:16.917500
0.0,0.0,2025-07-04T11:36:16.920314
0.0,0.0,2025-07-04T11:36:16.923467
0.0,0.0,2025-07-04T11:36:16.926506
0.0,0.0,2025-07-04T11:36:16.929488
0.0,0.0,2025-07-04T11:36:16.932480
0.0,0.0,2025-07-04T11:36:16.935274
0.0,0.0,2025-07-04T11:36:16.938294
0.0,0.0,2025-07-04T11:36:16.941286
0.0,0.0,2025-07-04T11:36:16.943280
0.0,0.0,2025-07-04T11:36:16.945437
0.0,0.0,2025-07-04T11:36:16.948433
0.0,0.0,2025-07-04T11:36:16.951333
0.0,0.0,2025-07-04T11:36:16.955249
0.0,0.0,2025-07-04T11:36:16.958312
0.0,0.0,2025-07-04T11:36:16.960374
0.0,0.0,2025-07-04T11:36:16.962552
0.0,0.0,2025-07-04T11:36:16.964731
0.0,0.0,2025-07-04T11:36:16.967543
0.0,0.0,2025-07-04T11:36:16.970623
0.0,0.0,2025-07-04T11:36:16.973637
0.0,0.0,2025-07-04T11:36:16.975728
0.0,0.0,2025-07-04T11:36:16.978699
0.0,0.0,2025-07-04T11:36:16.981689
0.0,0.0,2025-07-04T11:36:16.984666
0.0,0.0,2025-07-04T11:36:16.987490
0.0,0.0,2025-07-04T11:36:16.991509
0.0,0.0,2025-07-04T11:36:16.993503
0.0,0.0,2025-07-04T11:36:16.995647
0.0,0.0,2025-07-04T11:36:16.998462
0.0,0.0,2025-07-04T11:36:17.001452
0.0,0.0,2025-07-04T11:36:17.004444
0.0,0.0,2025-07-04T11:36:17.007545
0.0,0.0,2025-07-04T11:36:17.009627
0.0,0.0,2025-07-04T11:36:17.012609
0.0,0.0,2025-07-04T11:36:17.015610
0.0,0.0,2025-07-04T11:36:17.018410
0.0,0.0,2025-07-04T11:36:17.021427
0.0,0.0,2025-07-04T11:36:17.024395
0.0,0.0,2025-07-04T11:36:17.026609
0.0,0.0,2025-07-04T11:36:17.029575
0.0,0.0,2025-07-04T11:36:17.032566
